Symbol,Date,Price,Analysts,StrongBuy,Buy,Hold,Sell,Lowcast,Forecast,Highcast,Actual
FULT,03/01/2019,17.280000686645508,5,0,1,4,0,0.04,0.12,0.25,0.0006
FULT,05/01/2019,17.290000915527347,3,0,1,2,0,0.03,0.13,0.24,-0.0463
FULT,08/01/2019,16.950000762939453,2,0,1,1,0,0.06,0.17,0.28,-0.0383
FTNT,08/01/2018,63.22999954223633,19,0,10,8,1,-0.32,-0.1,0.12,0.4708
FTNT,02/01/2019,76.69000244140625,21,0,7,12,2,-0.27,-0.05,0.15,0.103
FTNT,03/01/2019,87.41000366210938,21,0,7,12,2,-0.3,-0.05,0.15,0.0713
FTNT,05/01/2019,93.63999938964844,22,0,6,14,2,-0.21,-0.07,0.1,-0.1658
FTNT,08/01/2019,80.44000244140625,23,0,8,12,3,-0.09,0.01,0.19,-0.0356
FTNT,04/01/2020,96.94000244140624,24,0,10,13,1,-0.08,0.15,0.53,0.4422
FTNT,05/01/2020,105.63999938964844,23,0,10,12,1,-0.23,-0.04,0.28,0.2994
FUV,02/01/2019,3.059999942779541,1,0,1,0,0,1.46,1.46,1.46,0.5523
FUV,03/01/2019,4.239999771118163,1,0,1,0,0,1.31,1.31,1.31,-0.1226
FUV,05/01/2019,3.7200000286102295,2,0,2,0,0,1.72,1.79,1.85,-0.1102
FUV,08/01/2019,3.0499999523162837,2,0,2,0,0,1.34,1.84,2.34,0.0295
FUV,04/01/2020,1.1399999856948853,3,0,3,0,0,4.69,5.5,4.69,1.0175
FUV,05/01/2020,2.039999961853028,3,0,3,0,0,2.45,2.94,2.45,1.6422
GAIA,05/01/2019,10.390000343322754,3,0,3,0,0,1.18,1.51,1.62,-0.2599
GAIA,08/01/2019,5.75,2,0,2,0,0,2.01,2.31,2.61,0.1496
FWONK,08/01/2018,35.25,5,0,3,2,0,0.35,0.35,0.35,0.0607
FWONK,05/01/2019,38.86000061035156,2,0,1,1,0,0.02,0.06,0.02,-0.0288
FWONK,04/01/2020,25.920000076293945,3,0,3,0,0,0.63,0.96,0.63,0.3418
FWONK,05/01/2020,31.38999938964844,4,0,4,0,0,0.21,0.52,0.35,0.0162
FVCB,03/01/2019,17.770000457763672,1,1,0,0,0,0.19,0.19,0.19,-0.0771
FVCB,05/01/2019,16.399999618530273,1,1,0,0,0,0.26,0.26,0.26,0.1939
FVCB,08/01/2019,17.93000030517578,1,0,1,0,0,0.14,0.14,0.14,-0.0151
FVCB,04/01/2020,13.270000457763672,1,0,1,0,0,0.65,0.65,0.65,-0.1552
FVCB,05/01/2020,11.039999961853027,1,0,1,0,0,0.85,0.85,0.85,-0.0353
FWRD,02/01/2019,58.66999816894531,3,0,2,1,0,0.08,0.12,0.09,0.1091
FWRD,03/01/2019,65.06999969482422,3,0,2,1,0,0.04,0.08,0.06,-0.0281
GASS,02/01/2019,3.400000095367432,1,0,1,0,0,0.83,0.83,0.83,0.0176
GASS,03/01/2019,3.2300000190734863,1,0,1,0,0,0.86,0.86,0.86,0.0929
GASS,05/01/2019,3.5299999713897705,1,0,1,0,0,0.61,0.61,0.61,-0.0142
GASS,08/01/2019,3.609999895095825,1,0,1,0,0,0.49,0.49,0.49,-0.1551
GAIN,04/01/2020,7.5,2,0,0,2,0,0.4,0.55,0.7,0.4827
GAIN,05/01/2020,10.989999771118164,2,0,0,2,0,0.11,0.23,0.35,-0.0682
GEOS,08/01/2018,13.989999771118164,1,0,1,0,0,0.19,0.19,0.19,-0.0186
GEOS,02/01/2019,15.15999984741211,1,0,1,0,0,0.15,0.15,0.15,-0.1418
GEOS,03/01/2019,16.450000762939453,1,0,1,0,0,0.1,0.1,0.1,-0.1745
GEOS,05/01/2019,13.579999923706055,1,0,1,0,0,0.2,0.2,0.2,0.1208
GALT,02/01/2019,4.880000114440918,1,0,1,0,0,1.57,1.57,1.57,0.0574
GALT,03/01/2019,5.21999979019165,2,0,2,0,0,1.15,1.25,1.15,-0.1858
GALT,05/01/2019,4.25,2,0,2,0,0,1.42,1.53,1.42,-0.0259
GALT,08/01/2019,3.7000000476837163,2,0,2,0,0,2.03,2.17,2.03,-0.0054
GALT,04/01/2020,1.870000004768372,1,0,1,0,0,4.0,4.0,4.0,0.6043
GALT,05/01/2020,2.4100000858306885,2,0,2,0,0,0.72,1.79,2.86,0.2614
GBDC,02/01/2019,17.943193435668945,1,0,1,0,0,0.21,0.21,0.21,-0.0224
GBDC,03/01/2019,18.11949157714844,1,0,1,0,0,0.21,0.21,0.21,-0.0005
GBDC,05/01/2019,18.109695434570312,1,0,1,0,0,0.21,0.21,0.21,-0.0352
GBDC,08/01/2019,17.825660705566406,1,0,1,0,0,0.21,0.21,0.21,0.0357
GBDC,04/01/2020,12.007835388183596,2,0,2,0,0,0.05,0.49,0.05,0.016
GBDC,05/01/2020,10.109999656677246,2,0,2,0,0,0.13,0.61,0.13,0.1444
GDEN,08/01/2018,31.040000915527344,3,0,3,0,0,0.2,0.21,0.2,-0.2258
GDEN,02/01/2019,18.809999465942386,3,0,3,0,0,0.31,0.64,1.07,-0.2339
GDEN,03/01/2019,18.530000686645508,3,0,3,0,0,0.37,0.71,1.16,-0.1462
GDEN,05/01/2019,15.81999969482422,3,0,3,0,0,0.43,0.6,0.43,-0.0942
GDEN,08/01/2019,14.140000343322756,3,0,3,0,0,0.58,0.78,0.58,-0.0537
GDEN,04/01/2020,6.25,1,0,0,1,0,2.17,2.17,2.17,0.9504
GDEN,05/01/2020,9.350000381469727,1,0,0,1,0,1.35,1.35,1.35,-0.0439
GBT,08/01/2018,42.150001525878906,12,0,11,1,0,0.63,0.95,1.91,-0.1068
GBT,02/01/2019,48.09000015258789,13,0,12,1,0,0.1,0.73,2.01,0.1252
GBT,03/01/2019,52.75,13,0,12,1,0,0.06,0.67,1.9,0.0576
GBT,05/01/2019,55.790000915527344,12,0,11,1,0,0.01,0.61,1.66,-0.0443
GBT,08/01/2019,54.88000106811523,12,0,10,2,0,0.41,0.7,1.07,-0.1126
GBT,04/01/2020,49.38999938964844,14,0,9,5,0,0.1,0.76,1.65,0.4039
GBT,05/01/2020,75.43000030517578,15,0,10,5,0,-0.2,0.3,0.93,-0.1124
GDS,02/01/2019,28.209999084472656,7,1,5,0,1,-0.43,0.46,0.63,0.2761
GDS,03/01/2019,33.65999984741211,7,1,5,0,1,-0.51,0.26,0.41,0.164
GDS,05/01/2019,39.18000030517578,7,1,5,0,1,0.11,0.13,0.11,-0.01
GDS,04/01/2020,56.47999954223633,7,0,6,1,0,0.09,0.14,0.3,0.0234
GDS,05/01/2020,55.88999938964844,8,0,7,1,0,-0.02,0.06,0.18,0.4342
GERN,02/01/2019,1.2200000286102295,3,0,2,1,0,1.48,2.06,1.48,0.3525
GERN,03/01/2019,1.5199999809265137,4,0,3,1,0,1.15,1.66,1.65,0.1974
GERN,05/01/2019,1.8200000524520876,3,0,3,0,0,0.67,0.67,1.22,-0.2143
GERN,04/01/2020,1.1599999666213991,4,0,4,0,0,1.75,2.33,2.21,0.4224
GERN,05/01/2020,1.2000000476837158,5,0,5,0,0,1.38,1.78,1.78,0.8833
GILD,08/01/2018,77.5,18,1,10,7,0,-0.07,0.15,0.23,-0.0023
GILD,02/01/2019,70.0,18,0,11,7,0,0.25,0.29,0.38,-0.0637
GILD,03/01/2019,65.62000274658203,15,1,7,7,0,0.04,0.26,0.41,-0.0122
GILD,05/01/2019,64.81999969482422,17,0,11,6,0,0.05,0.26,0.36,0.0491
GILD,08/01/2019,65.66000366210939,20,2,14,3,1,-0.08,0.27,0.45,-0.0314
GILD,04/01/2020,74.31999969482422,26,0,16,7,3,-0.2,0.03,0.2,0.0155
GILD,05/01/2020,81.19999694824219,27,0,13,9,5,-0.25,-0.02,0.13,-0.0505
GIII,08/01/2018,45.540000915527344,11,0,8,3,0,-0.29,-0.0,0.25,0.0668
GIII,02/01/2019,35.0,10,0,9,1,0,0.03,0.29,0.49,0.1603
GIII,03/01/2019,36.25,11,0,10,1,0,0.01,0.26,0.46,0.195
GIII,05/01/2019,43.31999969482422,11,0,10,1,0,-0.03,0.13,0.36,-0.3024
GIII,08/01/2019,28.739999771118164,10,0,8,2,0,0.31,0.61,0.82,-0.0981
GIII,04/01/2020,7.1599998474121085,10,0,4,6,0,0.03,1.55,2.1,0.4399
GIII,05/01/2020,10.75,10,0,4,6,0,-0.16,1.06,1.51,0.2456
GLNG,08/01/2018,25.85000038146973,7,0,6,1,0,0.11,0.36,0.29,0.077
GLNG,02/01/2019,22.26000022888184,10,0,10,0,0,0.58,0.59,0.85,-0.0427
GLNG,05/01/2019,19.489999771118164,10,0,10,0,0,0.52,0.73,0.52,-0.0364
GLNG,08/01/2019,16.819999694824222,8,0,8,0,0,0.41,1.13,0.41,-0.2277
GLNG,04/01/2020,7.75,9,0,7,2,0,0.9,1.96,1.88,0.0116
GLNG,05/01/2020,6.809999942779541,9,0,7,2,0,1.01,1.99,2.05,0.0675
GMDA,02/01/2019,13.93000030517578,5,0,5,0,0,0.08,0.32,0.65,-0.196
GMDA,04/01/2020,3.240000009536743,4,0,4,0,0,4.28,4.43,4.28,0.7469
