['NFE', array([0.16737258], dtype=float32)]
['RCKT', array([0.16724199], dtype=float32)]
['CRTO', array([0.16703096], dtype=float32)]
['MS', array([0.16688266], dtype=float32)]
['GOOS', array([0.16687304], dtype=float32)]
['EGLE', array([0.16674525], dtype=float32)]
['GT', array([0.16661826], dtype=float32)]
['EXEL', array([0.16659501], dtype=float32)]
['TX', array([0.16620436], dtype=float32)]
['SEAS', array([0.16611382], dtype=float32)]
['CWH', array([0.16583583], dtype=float32)]
['ILMN', array([0.16573375], dtype=float32)]
['C', array([0.1656358], dtype=float32)]
['BJRI', array([0.16553123], dtype=float32)]
['OVV', array([0.16509274], dtype=float32)]
['SQ', array([0.16486852], dtype=float32)]
['TIL', array([0.16473773], dtype=float32)]
['NOVA', array([0.16470116], dtype=float32)]
['GDYN', array([0.16459209], dtype=float32)]
['NTAP', array([0.16443539], dtype=float32)]
['CAT', array([0.16439022], dtype=float32)]
['DOW', array([0.16437171], dtype=float32)]
['COST', array([0.16435096], dtype=float32)]
['ET', array([0.16352564], dtype=float32)]
['CHX', array([0.16347979], dtype=float32)]
['FSLR', array([0.16319343], dtype=float32)]
['ESPR', array([0.16312288], dtype=float32)]
['NEM', array([0.16305003], dtype=float32)]
['JD', array([0.16287845], dtype=float32)]
['KDMN', array([0.16253895], dtype=float32)]
['SSRM', array([0.16253887], dtype=float32)]
['LRCX', array([0.16242634], dtype=float32)]
['XPOF', array([0.1623041], dtype=float32)]
['BEEM', array([0.1622394], dtype=float32)]
['EPZM', array([0.16222091], dtype=float32)]
['ARE', array([0.16210656], dtype=float32)]
['GDRX', array([0.1619989], dtype=float32)]
['PK', array([0.16196446], dtype=float32)]
['YUMC', array([0.16160244], dtype=float32)]
['ANGI', array([0.16122685], dtype=float32)]
['FTCH', array([0.16110179], dtype=float32)]
['BRKS', array([0.16098547], dtype=float32)]
['ANET', array([0.16063817], dtype=float32)]
['DIBS', array([0.16047513], dtype=float32)]
['WLTW', array([0.16045657], dtype=float32)]
['PRPL', array([0.16035451], dtype=float32)]
['FSTX', array([0.160206], dtype=float32)]
['ZVIA', array([0.1597951], dtype=float32)]
['FIVE', array([0.15975948], dtype=float32)]
['EEFT', array([0.15968856], dtype=float32)]
['SWIM', array([0.15949246], dtype=float32)]
['FB', array([0.15874708], dtype=float32)]
['SHAK', array([0.15867676], dtype=float32)]
['ICHR', array([0.15859121], dtype=float32)]
['WAL', array([0.15854298], dtype=float32)]
['SUMO', array([0.15841861], dtype=float32)]
['JYNT', array([0.15832347], dtype=float32)]
['SHOO', array([0.15810682], dtype=float32)]
['BP', array([0.15803161], dtype=float32)]
['JAZZ', array([0.15762113], dtype=float32)]
['PTCT', array([0.15743619], dtype=float32)]
['CALX', array([0.1572639], dtype=float32)]
['BZUN', array([0.15721567], dtype=float32)]
['NVTA', array([0.15710236], dtype=float32)]
['GOSS', array([0.156854], dtype=float32)]
['CHTR', array([0.15683672], dtype=float32)]
['QURE', array([0.15680751], dtype=float32)]
['APTO', array([0.15669201], dtype=float32)]
['IFRX', array([0.15642343], dtype=float32)]
['NKTR', array([0.15610476], dtype=float32)]
['FTI', array([0.1560626], dtype=float32)]
['TRIP', array([0.15602374], dtype=float32)]
['HRI', array([0.15569708], dtype=float32)]
['BA', array([0.15546718], dtype=float32)]
['PRTA', array([0.15546586], dtype=float32)]
['DE', array([0.15544668], dtype=float32)]
['XGN', array([0.15538533], dtype=float32)]
['LTHM', array([0.15533832], dtype=float32)]
['PTC', array([0.15509672], dtype=float32)]
['LAC', array([0.15427339], dtype=float32)]
['BBIO', array([0.15423174], dtype=float32)]
['EGO', array([0.1539077], dtype=float32)]
['FUTU', array([0.15342946], dtype=float32)]
['CABO', array([0.15339132], dtype=float32)]
['NUE', array([0.15317068], dtype=float32)]
['FR', array([0.1530224], dtype=float32)]
['BLND', array([0.15298763], dtype=float32)]
['TPR', array([0.1528931], dtype=float32)]
['WCC', array([0.15265045], dtype=float32)]
['COP', array([0.15240791], dtype=float32)]
['LU', array([0.15223122], dtype=float32)]
['TASK', array([0.1521607], dtype=float32)]
['GNTX', array([0.15186834], dtype=float32)]
['AXP', array([0.15126456], dtype=float32)]
['STNE', array([0.15118742], dtype=float32)]
['MKTW', array([0.15104082], dtype=float32)]
['HXL', array([0.15074383], dtype=float32)]
['HARP', array([0.15073337], dtype=float32)]
['VRNT', array([0.15055147], dtype=float32)]
['SUM', array([0.15047476], dtype=float32)]
['APPN', array([0.15039232], dtype=float32)]
['REGI', array([0.15037781], dtype=float32)]
['EGHT', array([0.15033475], dtype=float32)]
['PMVP', array([0.15032047], dtype=float32)]
['AMTX', array([0.15025578], dtype=float32)]
['COF', array([0.15014568], dtype=float32)]
['LUNG', array([0.15011494], dtype=float32)]
['AYX', array([0.14993979], dtype=float32)]
['RVLV', array([0.14980328], dtype=float32)]
['FULC', array([0.14974028], dtype=float32)]
['ZNTL', array([0.14950475], dtype=float32)]
['CTXS', array([0.1491446], dtype=float32)]
['GLBE', array([0.14904797], dtype=float32)]
['SPLK', array([0.14874455], dtype=float32)]
['PUMP', array([0.14856258], dtype=float32)]
['VCEL', array([0.14850502], dtype=float32)]
['FRPT', array([0.14839934], dtype=float32)]
['PINS', array([0.14832407], dtype=float32)]
['YETI', array([0.14823824], dtype=float32)]
['CCXI', array([0.14812748], dtype=float32)]
['ANSS', array([0.14800742], dtype=float32)]
['VERX', array([0.14772731], dtype=float32)]
['MP', array([0.14771946], dtype=float32)]
['CP', array([0.14739853], dtype=float32)]
['SGEN', array([0.1471582], dtype=float32)]
['NCR', array([0.14705746], dtype=float32)]
['ABST', array([0.14684424], dtype=float32)]
['OC', array([0.14663598], dtype=float32)]
['NLSN', array([0.14638284], dtype=float32)]
['WAT', array([0.14631687], dtype=float32)]
['CLF', array([0.14613163], dtype=float32)]
['SPG', array([0.14610934], dtype=float32)]
['NTNX', array([0.14606962], dtype=float32)]
['ATAI', array([0.14584129], dtype=float32)]
['DADA', array([0.14580265], dtype=float32)]
['NMRK', array([0.14549327], dtype=float32)]
['SGRY', array([0.14532365], dtype=float32)]
['NIU', array([0.14529935], dtype=float32)]
['CRNC', array([0.14517097], dtype=float32)]
['TWOU', array([0.14515054], dtype=float32)]
['WSM', array([0.14511132], dtype=float32)]
['AMGN', array([0.14499488], dtype=float32)]
['TTWO', array([0.14481738], dtype=float32)]
['SGMS', array([0.1446696], dtype=float32)]
['BYND', array([0.14459084], dtype=float32)]
['ASAN', array([0.14428593], dtype=float32)]
['MOS', array([0.14386384], dtype=float32)]
['ULCC', array([0.14384398], dtype=float32)]
['SSTK', array([0.14376676], dtype=float32)]
['TSE', array([0.1436453], dtype=float32)]
['NTES', array([0.14345634], dtype=float32)]
['CCL', array([0.14338659], dtype=float32)]
['TCOM', array([0.14292914], dtype=float32)]
['NBIX', array([0.1428951], dtype=float32)]
['KOD', array([0.1427257], dtype=float32)]
['KEY', array([0.14271739], dtype=float32)]
['DKNG', array([0.14266422], dtype=float32)]
['CCCC', array([0.14259064], dtype=float32)]
['SAVE', array([0.14224136], dtype=float32)]
['CROX', array([0.14221358], dtype=float32)]
['BNTX', array([0.1417987], dtype=float32)]
['FCX', array([0.14151919], dtype=float32)]
['TEAM', array([0.14147061], dtype=float32)]
['FN', array([0.14094579], dtype=float32)]
['UPWK', array([0.14089015], dtype=float32)]
['SIOX', array([0.14087637], dtype=float32)]
['SBUX', array([0.14064476], dtype=float32)]
['LULU', array([0.14058559], dtype=float32)]
['BE', array([0.14025164], dtype=float32)]
['VNOM', array([0.14013767], dtype=float32)]
['QRVO', array([0.14009364], dtype=float32)]
['HPE', array([0.13990058], dtype=float32)]
['GRMN', array([0.13989358], dtype=float32)]
['KAR', array([0.13978417], dtype=float32)]
['CVX', array([0.13943022], dtype=float32)]
['SAGE', array([0.13900732], dtype=float32)]
['MTSI', array([0.13866886], dtype=float32)]
['DISCA', array([0.13831729], dtype=float32)]
['UPLD', array([0.13828854], dtype=float32)]
['ELY', array([0.13818271], dtype=float32)]
['WWW', array([0.13801849], dtype=float32)]
['IHRT', array([0.13801321], dtype=float32)]
['ALKT', array([0.13776273], dtype=float32)]
['DRNA', array([0.13774753], dtype=float32)]
['ELMS', array([0.13772485], dtype=float32)]
['LESL', array([0.13769197], dtype=float32)]
['PENN', array([0.13760337], dtype=float32)]
['F', array([0.13754721], dtype=float32)]
['TRHC', array([0.13688344], dtype=float32)]
['NOA', array([0.13686228], dtype=float32)]
['TRNS', array([0.13676956], dtype=float32)]
['FOUR', array([0.13674892], dtype=float32)]
['LYFT', array([0.136728], dtype=float32)]
['EOG', array([0.13670745], dtype=float32)]
['WW', array([0.1366663], dtype=float32)]
['HP', array([0.13647655], dtype=float32)]
['INSM', array([0.13646573], dtype=float32)]
['TFII', array([0.13640648], dtype=float32)]
['ACN', array([0.13604182], dtype=float32)]
['ERJ', array([0.13603294], dtype=float32)]
['SKX', array([0.13594407], dtype=float32)]
['ICAD', array([0.13593085], dtype=float32)]
['ALGT', array([0.13591796], dtype=float32)]
['HOG', array([0.13584504], dtype=float32)]
['PSTG', array([0.13572134], dtype=float32)]
['ZS', array([0.13567367], dtype=float32)]
['NTLA', array([0.1355086], dtype=float32)]
['CDNA', array([0.13543801], dtype=float32)]
['LEN', array([0.13521992], dtype=float32)]
['HNST', array([0.13510749], dtype=float32)]
['BILI', array([0.1350378], dtype=float32)]
['GFL', array([0.13450432], dtype=float32)]
['VIPS', array([0.1338865], dtype=float32)]
['CNK', array([0.13365905], dtype=float32)]
['NVMI', array([0.13363983], dtype=float32)]
['ZEN', array([0.13359949], dtype=float32)]
['CARR', array([0.13339725], dtype=float32)]
['PAYC', array([0.13323927], dtype=float32)]
['AMN', array([0.13309279], dtype=float32)]
['MGNX', array([0.13277021], dtype=float32)]
['PEB', array([0.13272052], dtype=float32)]
['WFC', array([0.13271455], dtype=float32)]
['RL', array([0.13265218], dtype=float32)]
['CCS', array([0.1326026], dtype=float32)]
['OMCL', array([0.13258748], dtype=float32)]
['ATEC', array([0.13242349], dtype=float32)]
['KNBE', array([0.1323494], dtype=float32)]
['PTVE', array([0.13234891], dtype=float32)]
['APA', array([0.13218659], dtype=float32)]
['FIGS', array([0.13212442], dtype=float32)]
['BYD', array([0.13199818], dtype=float32)]
['SLB', array([0.13194507], dtype=float32)]
['IMVT', array([0.13186897], dtype=float32)]
['CFG', array([0.13184784], dtype=float32)]
['KYMR', array([0.13170771], dtype=float32)]
['TSHA', array([0.13166487], dtype=float32)]
['AEM', array([0.1313753], dtype=float32)]
['HESM', array([0.13113984], dtype=float32)]
['GWW', array([0.1310988], dtype=float32)]
['TME', array([0.1310287], dtype=float32)]
['MTZ', array([0.13097379], dtype=float32)]
['BIIB', array([0.13075194], dtype=float32)]
['DAN', array([0.1307184], dtype=float32)]
['ISBC', array([0.13061199], dtype=float32)]
['BLFS', array([0.13053025], dtype=float32)]
['MEG', array([0.12982613], dtype=float32)]
['BLDP', array([0.12956916], dtype=float32)]
['PTON', array([0.12930892], dtype=float32)]
['USFD', array([0.12930605], dtype=float32)]
['CSTL', array([0.1292873], dtype=float32)]
['VTEX', array([0.12914847], dtype=float32)]
['VICI', array([0.1290293], dtype=float32)]
['UPST', array([0.1290167], dtype=float32)]
['NSC', array([0.12899189], dtype=float32)]
['CRH', array([0.12895598], dtype=float32)]
['IT', array([0.12887716], dtype=float32)]
['MRNA', array([0.12880088], dtype=float32)]
['OMF', array([0.12868862], dtype=float32)]
['DOCU', array([0.12865585], dtype=float32)]
['BURL', array([0.12845024], dtype=float32)]
['GLPG', array([0.12844147], dtype=float32)]
['GRAY', array([0.12830602], dtype=float32)]
['XNCR', array([0.12827508], dtype=float32)]
['EAT', array([0.12801886], dtype=float32)]
['HUM', array([0.12796946], dtype=float32)]
['GPRE', array([0.12784013], dtype=float32)]
['AQUA', array([0.12771894], dtype=float32)]
['BAND', array([0.12756877], dtype=float32)]
['POOL', array([0.12718016], dtype=float32)]
['CBT', array([0.12703806], dtype=float32)]
['HWM', array([0.12658733], dtype=float32)]
['BMO', array([0.12655903], dtype=float32)]
['GTES', array([0.12622079], dtype=float32)]
['EXK', array([0.12614806], dtype=float32)]
['SNDX', array([0.12603435], dtype=float32)]
['DQ', array([0.12577648], dtype=float32)]
['IS', array([0.12554182], dtype=float32)]
['FXLV', array([0.12551133], dtype=float32)]
['MPC', array([0.12544774], dtype=float32)]
['PWR', array([0.12534024], dtype=float32)]
['LAZ', array([0.12525645], dtype=float32)]
['BWA', array([0.12517002], dtype=float32)]
['MDB', array([0.12515697], dtype=float32)]
['TAC', array([0.12480181], dtype=float32)]
['WHD', array([0.12479349], dtype=float32)]
['BX', array([0.12446903], dtype=float32)]
['BOOT', array([0.12445894], dtype=float32)]
['BRBR', array([0.12445676], dtype=float32)]
['JWN', array([0.12427873], dtype=float32)]
['HCAT', array([0.12419441], dtype=float32)]
['VRM', array([0.12410423], dtype=float32)]
['SGFY', array([0.12406255], dtype=float32)]
['EL', array([0.12399362], dtype=float32)]
['PLL', array([0.12387364], dtype=float32)]
['SPR', array([0.1238227], dtype=float32)]
['IQ', array([0.12373677], dtype=float32)]
['STNG', array([0.12367412], dtype=float32)]
['WYNN', array([0.12353117], dtype=float32)]
['CVLT', array([0.12341078], dtype=float32)]
